sale_timestamp,customer_id,sale_amount,product_id
2013-12-02 14:17:02.590 UTC,DKp5s6kd21KgwVeGZOvCfsIoftyjxBuiXomH3HiGs6w=,97.67,104795
2013-11-03 18:42:59.957 UTC,8gF3Q0O4MYcHgeFE6P/UWUUdQZPv2LTl0DUrlpoS5mo=,52.3,523
2013-05-15 11:18:12.317 UTC,2BgawEsneOODFMIVVnLEYin3g45q9YRDqvlixZuQ+sA=,50.13,105009
2013-03-20 23:09:19.537 UTC,IF1uGd3NYJmT/4nDMFSqUr8MZwQtQG0gNeh2jlfHQaU=,74.47,99965
2011-09-22 13:47:54.267 UTC,onyl1gkecCCnAgr1EoX14SGeVZRlBPpUjeEI8YcCvIQ=,130.0,97776
2011-10-20 17:36:18.540 UTC,yvLrHpqUVWbzqznKRxF2lYRmhrrfskCehTsJxen6hwA=,160.0,665
2014-06-12 15:53:52.267 UTC,rrYLgVc4yOWz7QRB88Q37xqhekmbl2KXwD+YX07iuUU=,94.4,105826
2011-11-10 16:25:17.393 UTC,qmUUqlQCIuQcZG5f97onC0TV9eOwwwAV7DkfSjbZ4zM=,19.98,107741
2013-03-08 18:24:46.657 UTC,Mj7c7oU7aE5NiZ+iJX4r4mP8g9gmYdVpnTm+UTjdXOo=,62.07,95926
2014-03-29 11:37:05.093 UTC,47DEQpj8HBSa+/TImW+5JCeuQeRkm5NMpJWZG3hSuFU=,81.0,492
2013-03-13 21:19:52.847 UTC,uKK4EPKnaIrvpJ3+0DSEyY6J7AJWnTYwrVX23DFJRSo=,64.52,105209
2014-03-29 14:10:37.567 UTC,2kTaEC7FlWVf+BS3uAx0iuL9bheVg5tcBOECSkr+zfw=,62.55,95926
2014-11-22 07:06:16.020 UTC,Hf+zJC6nqPyeUt9xycn0G6vFwNMwfXReidqgqPfcTJs=,63.63,107039
2014-01-17 11:48:10.007 UTC,HNAnFqQCFAlZIehFyoFnqRQiuyzsYmf/UYZqbWJginM=,16.8,86023
2013-03-16 20:39:10.873 UTC,IhAZwanBgfTh3GJfzUSSW+LZzp1nuj6XdvyfpyFJwe8=,16.53,86025
2011-09-28 19:10:39.007 UTC,6WT2gF42D14Fihz37uTd5+g9w9Ru2Lg8tTpKoQZA4VU=,8.47,100237
2014-01-17 14:18:56.510 UTC,lppoiTafwymrfpM/CWKibetRpfrX0n1yiWOwcUbE7qg=,16.98,86023
2013-03-09 11:13:45.073 UTC,IAQqKQn3Dy34ehzd+BeqfeNHP7oFfz7yZCcw9x68KcY=,51.42,543
2013-03-05 12:42:07.423 UTC,okA2T9e+AU7xfeDuRDYvWWsJVpNvXSN4Q29er8XpnE0=,42.07,105377
2013-03-01 07:26:18.197 UTC,BI/x77tAmE4eey6/+G96SYSyneUziN0oYZ6bS0h5KCE=,74.47,105276
2013-03-07 14:11:28.440 UTC,s83zcRf4hbTp/2oqwIeNMoblVjI/mfOC6tBaM/MKV08=,47.58,105398
2013-03-09 00:46:08.703 UTC,3YSa3BzseNxVL2tEBHQFD+aLUASZc783KeFbp5pRJtI=,62.0,101984
2012-01-04 13:15:51.537 UTC,KY873hlDnZnNNBP+fIPQuFe9RNdNXdeOjuFcIVTUmJY=,98.0,425
2014-12-09 13:26:38.830 UTC,ljoYqslttPEpHGcSRNmXzGRvBJh/E65ekupgBORdJQI=,40.48,102345
2012-05-31 08:04:15.207 UTC,pRkw3svucVepx22E8VU59eJ7Y9pzjPa8KDgfmTOFYIM=,20.82,107732
2013-03-06 15:45:06.010 UTC,DOuaMpjBBdDi2+UYdCNIjarV8RHQyL08Umu+icBmZU8=,62.4,105010
2011-08-24 15:40:19.583 UTC,DE/PsDrpvqX+EFUgNv8F+m3eA6qLVQ+PovmYabuxOGo=,33.25,86037
2011-10-30 18:26:06.190 UTC,a3t3Z9R1XZWWiOgszC9G2OeI0qcO3cCQEu3HgPG1Zuc=,130.0,97826
2014-10-21 17:27:28.320 UTC,6v4NC32uPyk/EeM38LleKmjfLAh9BG8LzZeCiKXU7ZQ=,50.6,104464
2014-02-11 11:34:51.843 UTC,Wumj34fx7seDcagZ6dyEu0qI5OIa42BMlRxJ9JK5J2I=,121.65,105857
2012-07-27 10:50:02.667 UTC,dDnnJgAmQ7SZUVD/kxQZHxaQB7Phl4oC0RQGJg1wAHk=,38.92,104457
2012-03-15 22:34:30.963 UTC,JeGk+ChS1yKn7NbdJhHrfQojBIqTilFvsKwTtuNlpp8=,47.58,102352
2014-03-28 08:42:01.130 UTC,mbUkutFIiJ9c/0L73MDuk03JkSEQ5e1/8YTgLDpN8pA=,91.48,106083
2013-03-24 17:02:57.723 UTC,IV+UO7c20KTTy64LG5vapSzt3gA68LjX4nRVyqujeTg=,63.25,169
2013-08-18 23:43:21.890 UTC,HUn0HVUsi1o3h1cprmxBrmF7XXC52xJTA/kT2Bi60gw=,13.1,107746
2011-07-19 13:24:40.443 UTC,LVq8WZAGaWiFCBSEqdk9BHApNGd093tBztp0QpsNntw=,6.13,107723
2014-05-05 04:06:13.927 UTC,fYy1vt2xW7tvhll0zxCl0TP0F7TOP5O+aSVWySAy1CM=,6.15,105847
2014-03-28 13:00:41.760 UTC,Ap/ixSFskh20j6XnYWohx+qdWtaeXz629wzPG9P31EA=,60.72,105421
2010-05-23 16:34:06.850 UTC,flN/AQdTKkTWheqpGFWxyjFdaDvTETbrj2x8bsGf81Y=,46.0,85802
2011-09-18 19:09:35.510 UTC,2pSDa8XvCeFDyygT3FPgyAM1QIngHs5Tx/9LuKCvIQM=,44.9,99495
2014-12-16 22:59:34.047 UTC,Jn7HYRZAunLG66aCLNT4428LNfEUAKwGbVeHJX0DUqU=,169.68,105829
2014-03-26 21:25:51.670 UTC,1fe8E+RcV+G1yt2pA0pSnFEYR7hNNUashNhbuyDMDhU=,56.15,105631
2011-09-21 09:52:15.817 UTC,Hyv5y6LWe4A82q2XF5x2iO9sXZgsClL/Xm2i3kQfeig=,6.85,107723
2014-09-01 10:34:50.447 UTC,HJl6jD6sRDJ9DcD1kelACLeKJEWF400GC3A6kgz2gNI=,61.8,492
2013-03-06 12:43:49.027 UTC,BsAjibYtNveJd4DiC9qQVQBMVQCQjANg4u6YB2yeCzo=,59.05,85643
2011-08-24 23:58:21.040 UTC,47DEQpj8HBSa+/TImW+5JCeuQeRkm5NMpJWZG3hSuFU=,20.82,97292
